#!,Workbook:,Custom,Custom
#!,Para reproducir estos datos: abra el archivo original de Excel, haga clic en el botón *Importar archivo de datos* de la pestaña *Secuencia de datos* de la cinta de opciones y desplácese hasta este archivo.
#!,Para obtener más información, visite http://aka.ms/hackingstem/
45.9?0.00,5,-4.6582031000
0.00,5,-4.7460938000
0.00,5,-4.6582031000
0.00,5,-4.6582031000
0.00,5,-4.6582031000
0.01,5,-4.7460938000
0.01,5,-4.7460938000
0.01,5,-4.6582031000
0.01,5,-4.6582031000
0.01,5,-4.7460938000
0.01,5,-4.6582031000
0.01,5,-4.7460938000
0.02,5,-4.6582031000
0.02,5,-4.7460938000
0.02,5,-4.6582031000
0.02,5,-4.6582031000
0.02,5,-4.7460938000
0.03,5,-4.7460938000
0.03,5,-4.7460938000
0.03,5,-4.7460938000
0.03,5,-4.6582031000
0.03,5,-4.6582031000
0.03,5,-4.7460938000
0.04,5,-4.7460938000
0.04,5,-4.6582031000
0.04,5,-4.7460938000
0.04,5,-4.7460938000
0.05,5,-4.7460938000
0.05,5,-4.7460938000
0.05,5,-4.7460938000
0.05,5,-4.6582031000
0.05,5,-4.6582031000
0.05,5,-4.7460938000
0.06,5,-4.6582031000
0.06,5,-4.7460938000
0.06,5,-4.6582031000
0.06,5,-4.6582031000
0.06,5,-4.6582031000
0.07,5,-4.6582031000
0.07,5,-4.6582031000
0.07,5,-4.6582031000
0.07,5,-4.6582031000
0.07,5,-4.6582031000
0.07,5,-4.6582031000
0.08,5,-4.7460938000
0.08,5,-4.6582031000
0.08,5,-4.6582031000
0.08,5,-4.6582031000
0.08,5,-4.7460938000
0.09,5,-4.6582031000
0.09,5,-4.6582031000
0.09,5,-4.6582031000
0.09,5,-4.6582031000
0.09,5,-4.6582031000
0.10,5,-4.6582031000
0.10,5,-4.6582031000
0.10,5,-4.6582031000
0.10,5,-4.6582031000
0.10,5,-4.6582031000
0.10,5,-4.6582031000
0.11,5,-4.6582031000
0.11,5,-4.6582031000
0.11,5,-4.6582031000
0.11,5,-4.6582031000
0.11,5,-4.6582031000
0.12,5,-4.6582031000
0.12,5,-4.6582031000
0.12,5,-4.6582031000
0.12,5,-4.6582031000
0.12,5,-4.6582031000
0.12,5,-4.6582031000
0.13,5,-4.6582031000
0.13,5,-4.6582031000
0.13,5,-4.6582031000
0.13,5,-4.6582031000
0.13,5,-4.6582031000
0.14,5,-4.6582031000
0.14,5,-4.6582031000
0.14,5,-4.6582031000
0.14,5,-4.6582031000
0.14,5,-4.6582031000
0.15,5,-4.6582031000
0.15,5,-4.6582031000
0.15,5,-4.6582031000
0.15,5,-4.6582031000
0.15,5,-4.6582031000
0.15,5,-4.6582031000
0.16,5,-4.6582031000
0.16,5,-4.6582031000
0.16,5,-4.6582031000
0.16,5,-4.6582031000
0.16,5,-4.6582031000
0.17,5,-4.6582031000
0.17,5,-4.6582031000
0.17,5,-4.6582031000
0.17,5,-4.6582031000
0.17,5,-4.6582031000
0.18,5,-4.6582031000
0.18,5,-4.6582031000
0.18,5,-4.6582031000
0.18,5,-4.6582031000
0.18,5,-4.6582031000
0.19,5,-4.6582031000
0.19,5,-4.6582031000
0.19,5,-4.6582031000
0.19,5,-4.6582031000
0.19,5,-4.6582031000
0.19,5,-4.6582031000
0.20,5,-4.6582031000
0.20,5,-4.6582031000
0.20,5,-4.6582031000
0.20,5,-4.6582031000
0.20,5,-4.6582031000
0.20,5,-4.6582031000
0.21,5,-4.6582031000
0.21,5,-4.6582031000
0.21,5,-4.6582031000
0.21,5,-4.6582031000
0.22,5,-4.6582031000
0.22,5,-4.6582031000
0.22,5,-4.6582031000
0.22,5,-4.6582031000
0.22,5,-4.6582031000
0.22,5,-4.6582031000
0.23,5,-4.6582031000
0.23,5,-4.6582031000
0.23,5,-4.6582031000
0.23,5,-4.6582031000
0.23,5,-4.5703125000
0.23,5,-4.6582031000
0.24,5,-4.6582031000
0.24,5,-4.6582031000
0.24,5,-4.5703125000
0.24,5,-4.6582031000
0.24,5,-4.5703125000
0.25,5,-4.5703125000
0.25,5,-4.6582031000
0.25,5,-4.5703125000
0.25,5,-4.5703125000
0.25,5,-4.5703125000
0.26,5,-4.5703125000
