Column1;Column2;Column3;;5;30
0;5;-4,7460938;;;
0;5,00;-4,7460938;;;
0;5,00;-4,7460938;;;
0;5,00;-4,7460938;;;
0;5,00;-4,7460938;;;
0,01;5;-4,7460938;;;
0,01;5;-4,7460938;;;
0,01;5;-4,7460938;;;
0,01;5;-4,7460938;;;
0,01;5;-4,7460938;;;
0,01;5;-4,7460938;;;
0,01;5;-4,7460938;;;
0,02;5;-4,7460938;;;
0,02;5;-4,7460938;;;
0,02;5;-4,7460938;;;
0,02;5;-4,7460938;;;
0,02;5;-4,7460938;;;
0,03;5;-4,7460938;;;
0,03;5;-4,7460938;;;
0,03;5;-4,7460938;;;
0,03;5;-4,7460938;;;
0,03;5;-4,7460938;;;
0,03;5;-4,7460938;;;
0,04;5;-4,7460938;;;
0,04;5;-4,7460938;;;
0,04;5;-4,7460938;;;
0,04;5;-4,7460938;;;
0,05;5;-4,7460938;;;
0,05;5;-4,7460938;;;
0,05;5;-4,7460938;;;
0,05;5;-4,7460938;;;
0,05;5;-4,7460938;;;
0,05;5;-4,6582031;;;
0,06;5;-4,7460938;;;
0,06;5;-4,6582031;;;
0,06;5;-4,7460938;;;
0,06;5;-4,7460938;;;
0,06;5;-4,7460938;;;
0,07;5;-4,7460938;;;
0,07;5;-4,6582031;;;
0,07;5;-4,7460938;;;
0,07;5;-4,7460938;;;
0,07;5;-4,6582031;;;
0,07;5;-4,6582031;;;
0,08;5;-4,7460938;;;
0,08;5;-4,7460938;;;
0,08;5;-4,7460938;;;
0,08;5;-4,6582031;;;
0,08;5;-4,6582031;;;
0,09;5;-4,6582031;;;
0,09;5;-4,7460938;;;
0,09;5;-4,6582031;;;
0,09;5;-4,6582031;;;
0,09;5;-4,6582031;;;
0,1;5;-4,6582031;;;
0,1;5;-4,7460938;;;
0,1;5;-4,6582031;;;
0,1;5;-4,6582031;;;
0,1;5;-4,6582031;;;
0,1;5;-4,6582031;;;
0,11;5;-4,6582031;;;
0,11;5;-4,6582031;;;
0,11;5;-4,6582031;;;
0,11;5;-4,6582031;;;
0,11;5;-4,6582031;;;
0,12;5;-4,6582031;;;
0,12;5;-4,6582031;;;
0,12;5;-4,6582031;;;
0,12;5;-4,6582031;;;
0,12;5;-4,6582031;;;
0,12;5;-4,6582031;;;
0,13;5;-4,6582031;;;
0,13;5;-4,6582031;;;
0,13;5;-4,6582031;;;
0,13;5;-4,6582031;;;
0,13;5;-4,6582031;;;
0,14;5;-4,6582031;;;
0,14;5;-4,6582031;;;
0,14;5;-4,6582031;;;
0,14;5;-4,6582031;;;
0,14;5;-4,6582031;;;
0,15;5;-4,6582031;;;
